town,total_count,food,food_avg_spending,shopping,car,health,pet,education,life_service,entertainment,beauty,film_performance,sports,tourism,population_density
方松街道,5177,812,89.30940594,383,253,345,321,516,344,515,572,30,420,233,3488.039331
花木街道,4406,697,207.1133429,336,213,159,389,420,320,446,431,147,438,13,7862.270557
友谊路街道,4181,686,114.1754386,270,253,222,417,452,266,417,463,29,372,123,9082.070526
莘庄镇,4146,22,104.9090909,345,265,225,494,476,369,461,493,67,420,212,10617.23587
天目西路街道,4088,360,222.2222222,378,196,211,220,425,300,522,482,101,415,82,13034.62956
天平路街道,4060,410,193.1243902,409,170,206,159,432,299,535,471,85,441,143,16417.98534
新成路街道,3922,462,111.6017316,185,187,310,315,400,258,436,512,27,424,104,7310.202545
南桥镇,3675,0,,484,371,398,184,422,0,586,587,24,213,114,3581.806663
南京东路街道,3562,21,155.8,218,193,221,138,374,306,511,445,202,275,192,20161.69906
真如镇,3518,4,121,279,213,193,284,457,274,513,512,52,399,87,21115.18839
平凉路街道,3448,324,97.72981366,301,151,221,179,421,244,499,464,23,371,84,19454.6206
江苏路街道,3415,337,215.4272997,311,148,204,113,355,313,459,436,48,353,98,25118.00147
夏阳街道,3071,0,,132,276,242,143,358,279,485,486,29,225,166,2679.03633
嘉兴路街道,2934,6,150.6666667,316,170,150,117,327,285,497,491,46,230,95,35029.9914
山阳镇,2679,0,,414,268,148,86,374,102,451,480,15,98,92,990.1136933
五角场街道,1424,200,102.535,210,147,80,10,114,112,105,151,16,91,21,14658.20728
徐家汇街道,1263,130,175.9384615,141,126,68,10,103,146,68,99,21,104,36,16686.51328
大场镇,1156,240,76.9125,82,134,95,41,133,113,41,55,7,64,33,8590.633227
长征镇,955,56,92.67857143,144,143,133,73,72,104,41,60,4,65,23,16476.91294
外滩街道,908,23,272.9130435,62,98,47,2,47,107,39,39,14,27,82,21619.29303
长寿路街道,890,13,109.3076923,77,112,59,22,57,111,93,87,15,80,66,23320.4923
江桥镇,870,172,98.89534884,85,111,44,35,60,88,46,29,6,60,25,4412.186141
华阳路街道,864,83,117.4819277,158,78,47,6,76,79,40,97,5,28,20,25812.84052
九亭镇,852,142,80.6,89,76,47,36,77,88,67,85,3,53,21,5901.124505
七宝镇,814,9,53.44444444,108,95,56,47,100,60,73,56,11,62,40,10397.3665
南京西路街道,796,104,186.2403846,149,68,40,5,33,74,42,68,12,41,36,16412.52662
徐泾镇,788,0,,15,83,42,16,82,110,52,58,4,36,27,2399.785451
南翔镇,783,206,100.631068,79,55,39,17,56,72,37,67,11,37,26,3069.633324
安亭镇,759,118,98.15254237,37,126,65,13,53,65,48,21,5,47,37,1900.415339
陆家嘴街道,759,236,318.0762712,98,47,42,8,21,102,39,57,21,8,11,11887.36489
虹桥镇,735,9,239.1111111,80,89,61,24,54,74,67,76,9,88,18,10994.18472
顾村镇,704,78,77.79487179,67,65,131,27,48,59,27,32,7,28,23,4189.720114
五角场镇,688,54,115.462963,40,113,100,14,26,53,35,21,4,47,13,14600.45084
虹桥街道,681,55,280.7818182,38,101,80,8,64,83,52,49,9,51,18,10719.73002
打浦桥街道,668,45,126.6444444,25,60,44,10,87,61,54,68,6,51,22,27130.66839
四川北路街道,648,5,277,115,78,68,3,72,101,40,41,6,28,59,27877.66143
长风新村街道,647,4,104.75,118,55,39,11,60,71,39,35,7,49,27,14764.25974
朱泾镇,616,0,,74,96,97,21,92,52,66,73,4,11,17,1165.708991
静安寺街道,607,73,209.7671233,49,60,53,3,25,55,23,57,20,25,33,13518.16699
广中路街道,596,6,122,112,104,36,13,80,70,49,51,1,35,14,30793.38031
彭浦镇,573,39,121.8974359,33,131,82,17,81,44,29,24,6,40,26,14150.78024
天山路街道,567,61,187.5245902,81,53,45,2,44,49,68,49,15,55,6,28229.37303
石化街道,566,0,,92,69,36,10,91,64,58,72,2,18,14,1630.702341
朱家角镇,562,0,,4,39,45,4,25,48,36,12,6,23,90,504.7563054
嘉定镇街道,548,120,100.8333333,66,27,57,21,45,55,40,26,8,33,23,14838.72081
岳阳街道,541,164,73.31707317,91,40,40,13,22,58,21,25,4,18,23,14581.75974
瑞金二路街道,520,31,173.7096774,43,57,44,3,32,41,27,45,15,13,54,18555.73341
新华路街道,518,39,224.8717949,32,76,78,9,27,54,29,32,5,33,22,24284.30289
新泾镇,514,28,162.9285714,21,114,78,14,55,69,20,19,4,44,21,9002.853366
真新街道,512,100,76.7,33,46,23,17,30,53,49,32,1,65,11,14177.05777
湖南路街道,507,69,216.0724638,63,40,27,5,23,56,26,45,12,6,38,15404.2228
淮海中路街道,507,18,173.4444444,41,67,47,1,35,67,41,59,20,28,25,30026.75949
中山街道,505,108,79.7962963,50,79,41,9,25,38,25,18,5,35,18,3866.60348
浦江镇,499,1,131,59,56,71,27,31,56,19,19,8,24,38,2088.316035
马陆镇,491,76,85.18421053,86,52,49,10,22,43,25,8,4,15,23,2207.146334
盈浦街道,484,0,,36,48,53,17,77,90,46,63,3,19,8,5872.496524
新虹街道,469,8,95.875,44,71,11,22,15,34,13,18,14,19,9,2478.62858
梅陇镇,465,1,126,41,67,83,25,45,33,25,29,10,38,36,8828.365499
嘉定工业区,456,112,78.67857143,28,43,65,18,43,29,14,32,2,22,11,3454.41674
高境镇,442,113,93.46902655,43,47,37,22,56,36,20,17,8,16,12,13056.03982
田林街道,437,26,100.5769231,29,74,59,8,45,66,19,20,8,29,13,17568.77054
周家桥街道,436,45,133.6,47,28,21,7,40,43,33,32,3,32,13,21148.7331
曲阳路街道,432,0,,40,73,62,10,47,58,28,35,2,23,10,24523.34232
