k_index,加权合计POI,人口密度,商铺人均消费,房价,不加权POI合计,经度,纬度
0,0,1630.702341,0,0,1,134.9889488,35.9344848
1,5.9,1630.702341,0,0,8,135.0067251,35.9344848
2,0,1630.702341,0,0,1,135.0245013,35.9344848
3,0,1630.702341,0,0,3,135.0422775,35.9344848
4,3.15,1630.702341,0,0,6,135.0600537,35.9344848
5,1.2,0,0,0,0,135.07783,35.9344848
6,8.57,1008.188944,0,0,15,134.9889488,35.94960629
7,22,1040.682775,0,0,26,135.0067251,35.94960629
8,7.89,1430.608749,172,0,10,135.0245013,35.94960629
9,44.22,1630.702341,0,0,11,135.0422775,35.94960629
10,195.82,1630.702341,0,0,138,135.0600537,35.94960629
11,264.52,1630.702341,1021,590000,349,135.07783,35.94960629
12,0,0,0,0,0,135.0956062,35.94960629
13,7.2,963.7237011,0,0,8,134.9889488,35.96472777
14,21.81,963.7237011,0,0,38,135.0067251,35.96472777
15,53.28,989.3767257,0,0,52,135.0245013,35.96472777
16,286.23,1370.840533,49,0,77,135.0422775,35.96472777
17,598.26,1620.460826,155.6666667,820000,521,135.0600537,35.96472777
18,479.06,1608.428744,805.8181818,880000,719,135.07783,35.96472777
19,50.23,990.1136933,13958,0,59,135.0956062,35.96472777
20,10.95,0,0,0,0,135.1133824,35.96472777
21,19.91,963.7237011,0,0,26,134.9889488,35.97984925
22,323.41,963.7237011,0,0,61,135.0067251,35.97984925
23,591.4,963.7237011,11548.16667,0,466,135.0245013,35.97984925
24,862.51,963.7237011,56.25,1173962.264,793,135.0422775,35.97984925
25,1229.38,1301.361228,642.8888889,923207.5472,1030,135.0600537,35.97984925
26,985.86,1306.365698,1487.984127,1735121.951,1347,135.07783,35.97984925
27,276.46,990.1136933,3205.769231,2029285.714,424,135.0956062,35.97984925
28,81.31,990.1136933,119,0,137,135.1133824,35.97984925
29,0,0,0,0,0,135.1311586,35.97984925
30,1.2,0,0,0,0,134.9711726,35.99497074
31,7.3,963.7237011,0,0,12,134.9889488,35.99497074
32,12.95,963.7237011,0,0,14,135.0067251,35.99497074
33,146.01,963.7237011,0,0,53,135.0245013,35.99497074
34,261.08,963.7237011,0,1277439.024,246,135.0422775,35.99497074
35,405.74,988.8263766,85.66666667,2686666.667,369,135.0600537,35.99497074
36,316.45,991.9977776,803.9107143,1510000,340,135.07783,35.99497074
37,124.63,990.1136933,0,1480000,208,135.0956062,35.99497074
