,k_index,加权合计POI,人口密度,商铺人均消费,房价,不加权POI合计,经度,纬度,normalized_density_town,normalized_density_district,housing_town,housing_district,geometry
0,0,0.0,1630.702341,0.0,0.0,1,134.9889488,35.9344848,-0.6617411498237491,-0.4439297357614927,-4.773955496394259,-2.9925467763309075,POINT (134.9889488 35.9344848)
1,1,5.9,1630.702341,0.0,0.0,8,135.0067251,35.9344848,-0.6437559503246567,-0.40542769884081975,-4.773955496394259,-2.9925467763309075,POINT (135.0067251 35.9344848)
2,2,0.0,1630.702341,0.0,0.0,1,135.0245013,35.9344848,-0.6617411498237491,-0.4439297357614927,-4.773955496394259,-2.9925467763309075,POINT (135.0245013 35.9344848)
3,3,0.0,1630.702341,0.0,0.0,3,135.0422775,35.9344848,-0.6566025213954371,-0.4329291537841576,-4.773955496394259,-2.9925467763309075,POINT (135.0422775 35.9344848)
4,4,3.15,1630.702341,0.0,0.0,6,135.0600537,35.9344848,-0.6488945787529689,-0.4164282808181549,-4.773955496394259,-2.9925467763309075,POINT (135.0600537 35.9344848)
6,6,8.57,1008.188944,0.0,0.0,15,134.9889488,35.94960629,-0.45026312127929913,-0.36692566192014686,-4.773955496394259,-2.9925467763309075,POINT (134.9889488 35.94960629)
7,7,22.0,1040.682775,0.0,0.0,26,135.0067251,35.94960629,-0.41468198382188326,-0.30642246104480364,-7.991702156825272,-2.9925467763309075,POINT (135.0067251 35.94960629)
8,8,7.89,1430.608749,172.0,0.0,10,135.0245013,35.94960629,-0.4664363655781245,-0.39442711686348464,-7.991702156825272,-2.9925467763309075,POINT (135.0245013 35.94960629)
9,9,44.22,1630.702341,0.0,0.0,11,135.0422775,35.94960629,-0.6360480076821886,-0.3889268258748171,-4.773955496394259,-2.9925467763309075,POINT (135.0422775 35.94960629)
10,10,195.82,1630.702341,0.0,0.0,138,135.0600537,35.94960629,-0.3097451024843692,0.30961012968596335,-4.773955496394259,-2.9925467763309075,POINT (135.0600537 35.94960629)
11,11,264.52,1630.702341,1021.0,590000.0,349,135.07783,35.94960629,0.23238019670255908,1.4701715282948191,164.82218631365774,60.44242196001998,POINT (135.07783 35.94960629)
