,k_index,加权合计POI,人口密度,商铺人均消费,房价,不加权POI合计,经度,纬度,normalized_density
0,0,0.0,1630.702341,0.0,0.0,1,134.9889488,35.9344848,-0.7291976324818034
1,1,5.9,1630.702341,0.0,0.0,8,135.0067251,35.9344848,-0.6688926805972323
2,2,0.0,1630.702341,0.0,0.0,1,135.0245013,35.9344848,-0.7291976324818034
3,3,0.0,1630.702341,0.0,0.0,3,135.0422775,35.9344848,-0.7119676462290687
4,4,3.15,1630.702341,0.0,0.0,6,135.0600537,35.9344848,-0.6861226668499668
5,5,1.2,0.0,0.0,0.0,0,135.07783,35.9344848,
6,6,8.57,1008.188944,0.0,0.0,15,134.9889488,35.94960629,-0.6085877287126612
7,7,22.0,1040.682775,0.0,0.0,26,135.0067251,35.94960629,-0.5138228043226208
8,8,7.89,1430.608749,172.0,0.0,10,135.0245013,35.94960629,-0.6516626943444976
9,9,44.22,1630.702341,0.0,0.0,11,135.0422775,35.94960629,-0.6430477012181304
10,10,195.82,1630.702341,0.0,0.0,138,135.0600537,35.94960629,0.45105642583051636
11,11,264.52,1630.702341,1021.0,590000.0,349,135.07783,35.94960629,2.2688199754940164
12,12,0.0,0.0,0.0,0.0,0,135.0956062,35.94960629,
13,13,7.2,963.7237011,0.0,0.0,8,134.9889488,35.96472777,-0.6688926805972323
14,14,21.81,963.7237011,0.0,0.0,38,135.0067251,35.96472777,-0.4104428868062133
15,15,53.28,989.3767257,0.0,0.0,52,135.0245013,35.96472777,-0.28983298303707117
16,16,286.23,1370.840533,49.0,0.0,77,135.0422775,35.96472777,-0.07445815487788875
17,17,598.26,1620.460826,155.6666667,820000.0,521,135.0600537,35.96472777,3.7505987932291913
18,18,479.06,1608.428744,805.8181818,880000.0,719,135.07783,35.96472777,5.456367432249916
19,19,50.23,990.1136933,13958.0,0.0,59,135.0956062,35.96472777,-0.2295280311525001
20,20,10.95,0.0,0.0,0.0,0,135.1133824,35.96472777,
21,21,19.91,963.7237011,0.0,0.0,26,134.9889488,35.97984925,-0.5138228043226208
22,22,323.41,963.7237011,0.0,0.0,61,135.0067251,35.97984925,-0.2122980448997655
23,23,591.4,963.7237011,11548.16667,0.0,466,135.0245013,35.97984925,3.27677417127899
24,24,862.51,963.7237011,56.25,1173962.264,793,135.0422775,35.97984925,6.093876923601096
25,25,1229.38,1301.361228,642.8888889,923207.5472,1030,135.0600537,35.97984925,8.135630294550145
26,26,985.86,1306.365698,1487.984127,1735121.951,1347,135.07783,35.97984925,10.866583115608579
27,27,276.46,990.1136933,3205.769231,2029285.714,424,135.0956062,35.97984925,2.9149444599715637
28,28,81.31,990.1136933,119.0,0.0,137,135.1133824,35.97984925,0.4424414327041491
29,29,0.0,0.0,0.0,0.0,0,135.1311586,35.97984925,
30,30,1.2,0.0,0.0,0.0,0,134.9711726,35.99497074,
31,31,7.3,963.7237011,0.0,0.0,12,134.9889488,35.99497074,-0.634432708091763
32,32,12.95,963.7237011,0.0,0.0,14,135.0067251,35.99497074,-0.6172027218390285
33,33,146.01,963.7237011,0.0,0.0,53,135.0245013,35.99497074,-0.28121798991070385
34,34,261.08,963.7237011,0.0,1277439.024,246,135.0422775,35.99497074,1.3814756834781845
35,35,405.74,988.8263766,85.66666667,2686666.667,369,135.0600537,35.99497074,2.441119838021362
36,36,316.45,991.9977776,803.9107143,1510000.0,340,135.07783,35.99497074,2.1912850373567103
37,37,124.63,990.1136933,0.0,1480000.0,208,135.0956062,35.99497074,1.054105944676227
38,38,23.08,990.1136933,0.0,0.0,34,135.1133824,35.99497074,-0.4449028593116825
39,39,1.35,990.1136933,0.0,0.0,2,135.1311586,35.99497074,-0.720582639355436
40,40,0.0,0.0,0.0,0.0,0,135.1489349,35.99497074,
41,41,4.73,963.7237011,0.0,0.0,2,134.9533964,36.01009222,-0.720582639355436
42,42,15.81,963.7237011,0.0,0.0,23,134.9711726,36.01009222,-0.5396677837017227
43,43,9.3,963.7237011,0.0,0.0,23,134.9889488,36.01009222,-0.5396677837017227
44,44,10.3,963.7237011,0.0,0.0,13,135.0067251,36.01009222,-0.6258177149653957
45,45,70.07,963.7237011,0.0,0.0,20,135.0245013,36.01009222,-0.5655127630808247
46,46,1180.14,963.7237011,0.0,1554545.455,179,135.0422775,36.01009222,0.8042711440115755
47,47,807.46,989.4640395,1023.5,2240000.0,1503,135.0600537,36.01009222,12.210522043321877
48,48,425.18,990.1136933,93.0,1935000.0,598,135.07783,36.01009222,4.413953263959473
49,49,82.3,990.1136933,0.0,0.0,181,135.0956062,36.01009222,0.8215011302643102
50,50,16.72,990.1136933,0.0,0.0,33,135.1133824,36.01009222,-0.4535178524380498
51,51,1.0,625.2054065,0.0,0.0,5,135.1311586,36.01009222,-0.6947376599763341
52,52,0.0,0.0,0.0,0.0,0,135.1489349,36.01009222,
