,town,Unnamed: 0,total_count,food,food_avg_spending,shopping,car,health,pet,education,life_service,entertainment,beauty,film_performance,sports,tourism,population_density,GaussianMixture_result,Kmeans_result
0,方松街道,0,1.0,1.0,0.1117764780225281,0.7913223140495868,0.6819407008086253,0.8668341708542714,0.6497975708502024,1.0,0.9322493224932248,0.878839590443686,0.9744463373083476,0.1485148514851485,0.9523809523809524,1.0,0.0794871318691793,8,5
1,花木街道,1,0.8510432766615147,0.8583743842364532,0.2592156982478097,0.6942148760330579,0.5741239892183289,0.3994974874371859,0.7874493927125507,0.813953488372093,0.8672086720867209,0.7610921501706485,0.7342419080068143,0.7277227722772277,0.9931972789115646,0.055793991416309,0.1791692344180809,3,5
2,友谊路街道,2,0.8075734157650696,0.8448275862068966,0.1428979206508135,0.5578512396694215,0.6819407008086253,0.5577889447236181,0.8441295546558705,0.875968992248062,0.7208672086720868,0.71160409556314,0.788756388415673,0.1435643564356435,0.8435374149659864,0.5278969957081545,0.2069666276780148,8,5
3,莘庄镇,3,0.8008114374034003,0.0270935960591133,0.1313004892365457,0.7128099173553719,0.7142857142857143,0.5653266331658292,1.0,0.9224806201550388,1.0,0.7866894197952219,0.8398637137989778,0.3316831683168317,0.9523809523809524,0.9098712446351932,0.2419507200461872,3,5
4,天目西路街道,4,0.7896058732612056,0.4433497536945813,0.278125434543179,0.7809917355371901,0.5283018867924528,0.5301507537688442,0.4453441295546558,0.8236434108527132,0.8130081300813008,0.8907849829351536,0.8211243611584327,0.5,0.9410430839002268,0.351931330472103,0.2970394598172675,3,1
5,天平路街道,5,0.7841962905718701,0.5049261083743842,0.2417076222778473,0.8450413223140496,0.4582210242587601,0.5175879396984925,0.3218623481781376,0.8372093023255813,0.8102981029810298,0.9129692832764504,0.8023850085178875,0.4207920792079208,1.0,0.6137339055793991,0.3741410121578796,3,1
6,新成路街道,6,0.7575347758887171,0.5689655172413793,0.1396767604505632,0.3822314049586777,0.5040431266846361,0.7788944723618091,0.6376518218623481,0.7751937984496124,0.6991869918699187,0.7440273037542662,0.8722316865417377,0.1336633663366336,0.9614512471655328,0.4463519313304721,0.1665884408242142,8,5
7,南桥镇,7,0.7098145285935085,0.0,0.0,1.0,1.0,1.0,0.3724696356275304,0.8178294573643411,0.0,1.0,1.0,0.1188118811881188,0.4829931972789116,0.4892703862660944,0.0816239473051361,9,6
8,南京东路街道,8,0.6879829984544049,0.0258620689655172,0.1949937421777221,0.4504132231404958,0.5202156334231807,0.5552763819095478,0.2793522267206478,0.7248062015503876,0.8292682926829268,0.8720136518771331,0.75809199318569,1.0,0.6235827664399093,0.8240343347639485,0.4594545759979933,3,7
9,真如镇,9,0.6794822256568779,0.0049261083743842,0.1514392991239048,0.5764462809917356,0.5741239892183289,0.4849246231155779,0.5748987854251012,0.8856589147286822,0.7425474254742548,0.8754266211604096,0.8722316865417377,0.2574257425742574,0.9047619047619048,0.3733905579399141,0.4811831532637309,1,1
