省份,城市,地区,分类,店名,店铺id,人均,地址,网址
上海市,上海市,静安寺,美食,Thaigallery泰廊餐厅,k3ZbV7SZiJdS33o8,212,静安寺,http://www.dianping.com/shop/k3ZbV7SZiJdS33o8
上海市,上海市,静安寺,美食,咖啡喝伐HefaCoffee(静安寺店),H4wGUqqcMN0mx4xw,24,静安寺,http://www.dianping.com/shop/H4wGUqqcMN0mx4xw
上海市,上海市,静安寺,美食,SMAKA(愚园路店),G10OMcSzGL6K2yVB,61,静安寺,http://www.dianping.com/shop/G10OMcSzGL6K2yVB
上海市,上海市,静安寺,美食,TheOranges(富民路店),k8HF52tjQHtAL4a5,50,静安寺,http://www.dianping.com/shop/k8HF52tjQHtAL4a5
上海市,上海市,静安寺,美食,LAVAZZA拉瓦萨咖啡(晶品旗舰店),l7mfKemjmGutK1TT,47,静安寺,http://www.dianping.com/shop/l7mfKemjmGutK1TT
上海市,上海市,静安寺,美食,BrutEatery悦璞食堂(愚园路店),k4SzrA6wrqe8qnz7,125,静安寺,http://www.dianping.com/shop/k4SzrA6wrqe8qnz7
上海市,上海市,静安寺,美食,来食耐食·RICENICE·라이스나이스(静安店),GaVcmpwogWi9w8iR,92,静安寺,http://www.dianping.com/shop/GaVcmpwogWi9w8iR
上海市,上海市,静安寺,美食,hiddentrack,G8w72WaFxMHLDIrB,41,静安寺,http://www.dianping.com/shop/G8w72WaFxMHLDIrB
上海市,上海市,静安寺,美食,洋老土(常熟路店),G3YJECsZQrcMjTq5,131,静安寺,http://www.dianping.com/shop/G3YJECsZQrcMjTq5
上海市,上海市,静安寺,美食,火燒雲傣家菜·绿野幻境云(静安店),H90u0jvX1RDjX8dg,108,静安寺,http://www.dianping.com/shop/H90u0jvX1RDjX8dg
上海市,上海市,静安寺,美食,PUNCHLINECAFE,l5OGt7aNHOIz1Rmj,37,静安寺,http://www.dianping.com/shop/l5OGt7aNHOIz1Rmj
上海市,上海市,静安寺,美食,南麓·浙里(巨鹿店),k3puPjNfExL55nZz,312,静安寺,http://www.dianping.com/shop/k3puPjNfExL55nZz
上海市,上海市,静安寺,美食,Peet'sCoffee皮爷咖啡(愚园路店),k5wxMmYu8uehIBwX,47,静安寺,http://www.dianping.com/shop/k5wxMmYu8uehIBwX
上海市,上海市,静安寺,美食,小方块sweetbox甜点(静安店),l5yeoqAjm61SMkrH,35,静安寺,http://www.dianping.com/shop/l5yeoqAjm61SMkrH
上海市,上海市,静安寺,美食,看得到风景的天台,jdbYu1rHnrntQoZ6,94,静安寺,http://www.dianping.com/shop/jdbYu1rHnrntQoZ6
上海市,上海市,静安寺,美食,韩国厨房(静安店),l3M5FwfATCbIq2fI,103,静安寺,http://www.dianping.com/shop/l3M5FwfATCbIq2fI
上海市,上海市,静安寺,美食,Alimentari&Degusteria(胶州路店),l8ZGoY1jQKTMC3e1,121,静安寺,http://www.dianping.com/shop/l8ZGoY1jQKTMC3e1
上海市,上海市,静安寺,美食,FATCOW(静安寺店),H2iZlwgwrAz9jEVp,133,静安寺,http://www.dianping.com/shop/H2iZlwgwrAz9jEVp
上海市,上海市,静安寺,美食,週休七日(长乐路店),FRmZCaIiLU8yPuRx,42,静安寺,http://www.dianping.com/shop/FRmZCaIiLU8yPuRx
上海市,上海市,静安寺,美食,餥餐厅(非常食材),k4iJMHZcmbd0nAQU,129,静安寺,http://www.dianping.com/shop/k4iJMHZcmbd0nAQU
上海市,上海市,静安寺,美食,saléebar&cafe,G8gkbOI5igKvOpNq,208,静安寺,http://www.dianping.com/shop/G8gkbOI5igKvOpNq
上海市,上海市,静安寺,美食,东京屋(武定路店),G5f22IYnzwVSrVeF,136,静安寺,http://www.dianping.com/shop/G5f22IYnzwVSrVeF
上海市,上海市,静安寺,美食,上海1号私藏菜(静安店),l4FkEVMfUs4nY2wB,151,静安寺,http://www.dianping.com/shop/l4FkEVMfUs4nY2wB
上海市,上海市,静安寺,美食,SURA韩国料理(胶州路店),l8bqtL9kjrrBf1KL,60,静安寺,http://www.dianping.com/shop/l8bqtL9kjrrBf1KL
上海市,上海市,静安寺,美食,EVERNAKED裸蛋糕(巨鹿路店),iypt41IpBzGiMhAV,121,静安寺,http://www.dianping.com/shop/iypt41IpBzGiMhAV
上海市,上海市,静安寺,美食,泽田本家·铜锣烧(静安富民路店),H5LUavs3rQLpbI6o,25,静安寺,http://www.dianping.com/shop/H5LUavs3rQLpbI6o
上海市,上海市,静安寺,美食,TequilaEspresso(南京西路店),H8L0J37iH7yYJrFr,33,静安寺,http://www.dianping.com/shop/H8L0J37iH7yYJrFr
上海市,上海市,静安寺,美食,懂经爷叔(富民路店),Ha5OwmCBkgJlLBtj,160,静安寺,http://www.dianping.com/shop/Ha5OwmCBkgJlLBtj
上海市,上海市,静安寺,美食,Egg(襄阳北路店),H8SuhT54b411jQSZ,101,静安寺,http://www.dianping.com/shop/H8SuhT54b411jQSZ
上海市,上海市,静安寺,美食,醉东OrientalHouse(静安嘉里店),l1pFxEUMxhYPVMz7,287,静安寺,http://www.dianping.com/shop/l1pFxEUMxhYPVMz7
上海市,上海市,静安寺,美食,老麦咖啡馆·TheCottageCafe(静安寺店),l1yDLv8qGHCaIH8I,80,静安寺,http://www.dianping.com/shop/l1yDLv8qGHCaIH8I
上海市,上海市,静安寺,美食,IKKI1788居酒屋,H2l7BUO2NdzKHCao,179,静安寺,http://www.dianping.com/shop/H2l7BUO2NdzKHCao
上海市,上海市,静安寺,美食,SOLANA,l2Dix68pGQIUCEQp,136,静安寺,http://www.dianping.com/shop/l2Dix68pGQIUCEQp
上海市,上海市,静安寺,美食,BISTRO11,l5qH59F8wGXMUhEj,150,静安寺,http://www.dianping.com/shop/l5qH59F8wGXMUhEj
上海市,上海市,静安寺,美食,PieBird(静安嘉里中心店),H6Xf93NnPF6yCoag,52,静安寺,http://www.dianping.com/shop/H6Xf93NnPF6yCoag
上海市,上海市,静安寺,美食,城南往事(晶品店),l6bt5EeTf1wf2MmD,167,静安寺,http://www.dianping.com/shop/l6bt5EeTf1wf2MmD
上海市,上海市,静安寺,美食,腔调面(巨鹿路店),laII1JM8lwJAvgOm,50,静安寺,http://www.dianping.com/shop/laII1JM8lwJAvgOm
上海市,上海市,静安寺,美食,MakiHouse寿司(晶品店),l47cLtydTj99mTJk,129,静安寺,http://www.dianping.com/shop/l47cLtydTj99mTJk
上海市,上海市,静安寺,美食,鸿姐老火锅(静安店),F4nE08K09Ptc47y4,151,静安寺,http://www.dianping.com/shop/F4nE08K09Ptc47y4
上海市,上海市,静安寺,美食,蟹榭(静安寺晶品商场店),k4TGD6G7rvzIosz9,227,静安寺,http://www.dianping.com/shop/k4TGD6G7rvzIosz9
上海市,上海市,静安寺,美食,圆苑(静安寺店),lawBW43ZmFjtZA6X,237,静安寺,http://www.dianping.com/shop/lawBW43ZmFjtZA6X
上海市,上海市,静安寺,美食,BARCENTRALE,l1aq1OsqJPg11ZSw,163,静安寺,http://www.dianping.com/shop/l1aq1OsqJPg11ZSw
上海市,上海市,静安寺,美食,MoreThanEat,El0ULDTpp8oN6pcN,119,静安寺,http://www.dianping.com/shop/El0ULDTpp8oN6pcN
上海市,上海市,静安寺,美食,台湾人道素菜自助餐,layJMX4JKJLaIj4Y,169,静安寺,http://www.dianping.com/shop/layJMX4JKJLaIj4Y
上海市,上海市,静安寺,美食,大公鸡小酒馆LeCoqWine&Bistro(花园店),HakniBaYiSdQ8P5K,490,静安寺,http://www.dianping.com/shop/HakniBaYiSdQ8P5K
上海市,上海市,静安寺,美食,辣1913(南京西路店),G8zVDTiU7g4rNX4I,98,静安寺,http://www.dianping.com/shop/G8zVDTiU7g4rNX4I
上海市,上海市,静安寺,美食,泰爱浓THESPICE,kaHYIaZKLJlk1CHr,156,静安寺,http://www.dianping.com/shop/kaHYIaZKLJlk1CHr
上海市,上海市,静安寺,美食,MannerCoffee(芮欧百货店),G62mra2I4ol5JWPX,21,静安寺,http://www.dianping.com/shop/G62mra2I4ol5JWPX
上海市,上海市,静安寺,美食,席家花园(静安店),l675WPSTCNwhuq7B,135,静安寺,http://www.dianping.com/shop/l675WPSTCNwhuq7B
上海市,上海市,静安寺,美食,翠园(静安嘉里店),H2UJdTQ1WsnADEam,296,静安寺,http://www.dianping.com/shop/H2UJdTQ1WsnADEam
上海市,上海市,静安寺,美食,JOLIE·HOUSE·茱小姐·有一个锅(静安店),l8qgFMr0DB8tD6lu,101,静安寺,http://www.dianping.com/shop/l8qgFMr0DB8tD6lu
上海市,上海市,静安寺,美食,LABOUTIQUEdeJoëlRobuchon,jtiGw8hvbYaP2W1B,99,静安寺,http://www.dianping.com/shop/jtiGw8hvbYaP2W1B
上海市,上海市,静安寺,美食,EPICUREAN逸派,k2MqOEjNU5ctP3EI,181,静安寺,http://www.dianping.com/shop/k2MqOEjNU5ctP3EI
上海市,上海市,静安寺,美食,香港龙凤楼(巨鹿路店),H6iog8PEm79zPEAA,265,静安寺,http://www.dianping.com/shop/H6iog8PEm79zPEAA
上海市,上海市,静安寺,美食,DipInGelato,la3ofIxNwHsGMBQr,41,静安寺,http://www.dianping.com/shop/la3ofIxNwHsGMBQr
上海市,上海市,静安寺,美食,NepaliKitchen(巨鹿路店),k8OhMRJCoSWnq9q3,151,静安寺,http://www.dianping.com/shop/k8OhMRJCoSWnq9q3
上海市,上海市,静安寺,美食,阿吾罗日本料理(芮欧百货店),H8Y2PqxYAJpkqohA,226,静安寺,http://www.dianping.com/shop/H8Y2PqxYAJpkqohA
上海市,上海市,静安寺,美食,平成屋(愚园路店),l2lFjTBzbtDmrTHf,95,静安寺,http://www.dianping.com/shop/l2lFjTBzbtDmrTHf
上海市,上海市,静安寺,美食,吉品小鲜Jhouse(静安店),H81LavpjYK8FYkeM,295,静安寺,http://www.dianping.com/shop/H81LavpjYK8FYkeM
上海市,上海市,静安寺,美食,食喱一家(愚园路店),k7ffAmXn0PQPBh5C,42,静安寺,http://www.dianping.com/shop/k7ffAmXn0PQPBh5C
上海市,上海市,静安寺,美食,亚洲烧肉公司(静安寺店),FNawPmC2lRTrhLH4,230,静安寺,http://www.dianping.com/shop/FNawPmC2lRTrhLH4
上海市,上海市,静安寺,美食,simplythai天泰(静安嘉里中心店),G5XoHMy4N3CAki9l,194,静安寺,http://www.dianping.com/shop/G5XoHMy4N3CAki9l
上海市,上海市,静安寺,美食,猫府烧肉(静安寺店),G1Tevhcsc0WBsUQx,159,静安寺,http://www.dianping.com/shop/G1Tevhcsc0WBsUQx
上海市,上海市,静安寺,美食,Ronglek茸乐云南菜,H1H3do6YWP7lxes7,103,静安寺,http://www.dianping.com/shop/H1H3do6YWP7lxes7
上海市,上海市,静安寺,美食,潮堂(久光店),k5ZCibkzmX2t2ISV,156,静安寺,http://www.dianping.com/shop/k5ZCibkzmX2t2ISV
上海市,上海市,静安寺,美食,必喜烤肉(上海首店),k6l3WbgtbmHJlFuo,149,静安寺,http://www.dianping.com/shop/k6l3WbgtbmHJlFuo
上海市,上海市,静安寺,美食,文兴酒家,G22GJCkEUHwWDI2i,215,静安寺,http://www.dianping.com/shop/G22GJCkEUHwWDI2i
上海市,上海市,静安寺,美食,家府潮汕菜(晶品店),ka1O6zL7unEmB27G,98,静安寺,http://www.dianping.com/shop/ka1O6zL7unEmB27G
上海市,上海市,静安寺,美食,TRIPLEP(长乐路店),G3jwTzTWIDCYTuyH,30,静安寺,http://www.dianping.com/shop/G3jwTzTWIDCYTuyH
上海市,上海市,静安寺,美食,和气桃桃(1788广场店),FlWS3j4Cx1mr38Kc,18,静安寺,http://www.dianping.com/shop/FlWS3j4Cx1mr38Kc
